Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2000-01-01,30.054031372070312,36.42563955567653,29.132835008175437,36.041807737387,1274875200
2000-02-01,27.44397735595703,33.77720289963942,27.060145504824764,30.245949869222574,1334487600
2000-03-01,32.625701904296875,35.3125244140625,27.30963165283203,27.520739135742186,2028187600
2000-04-01,21.417808532714844,29.631806787196883,19.95924809500308,28.99848449187467,2258146600
2000-05-01,19.210773468017578,22.72283295317963,18.539068102002975,22.377384479229264,1344430800
2000-06-01,24.565235137939453,25.236940786242485,19.594613340497016,19.767337650060654,1467050200
2000-07-01,21.43699836730957,25.448039243556394,20.650143458572156,24.46926850341961,1234185800
2000-08-01,21.43699836730957,22.991516601644467,20.918825622531273,21.475381533589445,1219399800
2000-09-01,18.51988983154297,22.127909819449787,18.001716748173376,21.49458716199806,1425533800
2000-10-01,21.149124145507812,21.53295579969126,14.87347659960849,18.57745206247873,2469415600
2000-11-01,17.617877960205078,22.223859126271766,17.50272843105341,21.033980658371203,1983462600
2000-12-01,13.318957328796387,18.615833730450284,12.378569851691166,17.828978902668364,2056668200
2001-01-01,18.75017547607422,19.882478805745027,13.16542515515549,13.549256792332034,2005531200
2001-02-01,18.11684799194336,19.97843088942059,16.543138738405908,18.673403703560265,1536895600
2001-03-01,16.79263687133789,18.76937012590681,15.276501656668529,17.982515141078405,1895349800
2001-04-01,20.803680419921875,21.832349020111412,15.679526663354402,16.831021889549337,2075807000
2001-05-01,21.24279022216797,22.154775082137085,20.650153745863964,20.7760517184874,1777305800
2001-06-01,22.41577911376953,23.38303580434677,20.269392153221876,21.371756056364312,1449177800
2001-07-01,20.324657440185547,22.461832118508557,19.713595671628408,22.12406068254239,1455201000
2001-08-01,17.518085479736328,20.739202895047047,17.287786368684504,20.511975094771884,1153896400
2001-09-01,15.712536811828613,18.141425382671304,14.585607294682504,17.561070761107555,1510824400
2001-10-01,17.855844497680664,19.538561902769402,15.4791589816711,15.641903186980775,1750891000
2001-11-01,19.716663360595703,20.984842253087205,18.301092087858798,18.448484468104198,1330968600
2001-12-01,20.343090057373047,21.460808327447026,19.59077932286573,19.59999208470086,977089000
2002-01-01,19.563129425048828,21.684951712162206,18.832314875230004,20.46590213102439,1360115800
2002-02-01,17.914201736450195,19.80572521389996,17.54879420458172,19.698252754927456,1131159200
2002-03-01,18.519113540649414,19.95924975513768,17.90498277895287,18.13221050481817,1073244200
2002-04-01,16.0472354888916,18.54674854851306,15.795441982839353,18.371721383851412,1417479400
2002-05-01,15.632694244384766,17.330764964236938,14.846606661320319,16.016525866149625,1420266200
2002-06-01,16.796472549438477,17.3307655283645,15.098400602951822,15.657260540084966,1834073000
2002-07-01,14.732996940612793,16.86710158743562,12.715577467349485,16.618378205433842,2432188000
2002-08-01,15.070767402648926,16.412642606300366,13.449461615958437,14.610169394079382,1715757200
2002-09-01,13.431036949157715,15.691036608846348,13.23758547912656,14.898808731463587,1695705800
2002-10-01,16.41878890991211,16.60302769928863,13.262155494336525,13.609139758069357,2475370600
2002-11-01,17.711530685424805,18.006313160332166,15.936693216638446,16.099437488363286,1555997200
2002-12-01,15.875285148620605,18.104579961619244,15.740175591167356,18.009390414899165,1268370200
2003-01-01,14.573326110839844,17.600991663297574,14.441287872408072,16.059522949458298,1718662200
2003-02-01,14.554902076721191,15.347130289323996,14.125009999496204,14.717646382314435,1346970800
2003-03-01,14.915914535522461,16.511627975584847,13.893179434765695,14.79885532920157,1371902600
2003-04-01,15.753815650939941,16.283666696574358,14.755725512800513,15.06993824786555,1249617700
2003-05-01,15.162361145019531,16.326800502963405,14.718764303800285,15.735339614842175,1311003700
2003-06-01,15.796944618225098,16.332956919408222,14.540090011339121,15.390315082897754,1569995800
2003-07-01,16.271343231201172,17.13389054086687,15.642915452324024,15.766137000188168,1292011000
2003-08-01,16.339111328125,16.60403677066352,15.667556519173514,16.222051002906873,966506900
2003-09-01,17.127727508544922,18.483159689132354,16.308307475998493,16.450012593378855,1253309100
2003-10-01,16.104997634887695,18.15046773746718,15.963293649798537,17.269437846394595,1400032500
2003-11-01,15.928936004638672,16.57328095283455,15.38991780924457,16.325456427267117,1442336700
2003-12-01,16.957414627075195,17.0689348086818,15.798833019054044,16.046657614381303,1476461300
2004-01-01,17.130882263183594,17.861965322039765,16.889253557253944,17.087513129475223,1232189000
2004-02-01,16.436975479125977,17.223818090939606,16.325454162660318,17.106102196199533,1032065600
2004-03-01,15.445679664611816,16.55469494507137,14.875682621053636,16.49893427480976,1703041000
2004-04-01,16.18916130065918,17.174265386577677,15.396122365786287,15.458078828003538,1558947800
2004-05-01,16.251102447509766,16.480340787158394,15.749257821768856,16.22632059501052,1141456900
2004-06-01,17.694686889648438,17.843381598434668,16.02187052951297,16.189151338322166,1534889700
2004-07-01,17.651315689086914,18.51870198005947,16.88305919241292,17.781424282678998,1550446900
2004-08-01,16.914039611816406,17.68849199663805,16.63523746231295,17.515015418739157,1094195300
2004-09-01,17.181411743164062,17.268407040143074,16.615947646226942,16.920428222638783,1141012300
2004-10-01,17.380260467529297,17.95193874241939,17.119276881488034,17.287052297915885,1300591200
2004-11-01,16.659448623657227,18.765959387045967,16.21826274129115,17.498324507470006,1739407300
2004-12-01,18.50531005859375,19.003956996246107,18.477608184813636,18.66460078643327,1803777700
2005-01-01,18.200580596923828,18.7684828094487,17.757338782472498,18.560712837404395,1521414300
2005-02-01,17.424903869628906,18.352939401653508,17.404126481552943,18.17979846390206,1361126000
2005-03-01,16.790916442871094,17.91633219144729,16.54777092604525,17.49951149475105,1541411300
2005-04-01,17.575918197631836,17.680124309405375,16.631126629502045,16.83953620297762,1520253700
2005-05-01,17.923280715942383,18.12474459077113,17.117427866700737,17.527301458560828,1270563700
2005-06-01,17.311098098754883,18.119506755346606,17.297159697618003,17.931342327716006,1303029500
2005-07-01,17.84770965576172,18.45401531632566,17.07414588617456,17.3180625218248,1321407700
2005-08-01,19.08123779296875,19.47150513028359,17.95225365158344,17.98709833241113,1441979300
2005-09-01,17.984535217285156,19.144827725936956,17.558163536296743,19.13783785140505,1348861500
2005-10-01,17.96356773376465,18.03346381585885,16.950058545211064,17.970556275428223,1439659900
2005-11-01,19.3475284576416,19.745941940115316,17.90065788100247,17.90065788100247,1444948300
2005-12-01,18.33168601989746,19.69867654556599,18.296635529327705,19.439298369242085,1271695500
2006-01-01,19.73373031616211,19.89496473892724,18.296638570489,18.401791396766665,1388622700
2006-02-01,18.83641242980957,19.677635825910258,18.46487126085061,19.600523179859,1047699000
2006-03-01,19.139408111572266,19.84983836602905,18.724405627901124,18.97762732316908,1437940900
2006-04-01,16.98701286315918,19.652884304997578,16.88150373315126,19.462967066010496,1446126900
2006-05-01,15.931915283203125,17.58489575223768,15.791236922157868,17.106586373117445,2309193400
2006-06-01,16.45302963256836,16.700178423825495,15.153734438330488,16.05759237466848,1971637200
2006-07-01,16.989700317382812,17.37101594205307,15.69746627853299,16.615447589672705,1332298100
2006-08-01,18.14777374267578,18.53614967327935,16.841416258235903,16.96145994808937,1134188400
