Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2004-08-01,2.5496222972869873,2.8263273942932896,2.3899746841250313,2.4905954959663092,2672137188
2004-09-01,3.227811098098755,3.3628018106079476,2.4641948912638507,2.557841214439257,4249913832
2004-10-01,4.74807071685791,4.979945247626777,3.2103772219871236,3.2576980850713606,10272433284
2004-11-01,4.532383918762207,5.021038717826807,4.017578514076599,4.820546470285361,11092660236
2004-12-01,4.8016180992126465,4.978200661540669,4.19590532864158,4.531636715288152,5807878308
2005-01-01,4.872101783752441,5.113192444009424,4.390670755714312,4.916435004819851,8198389404
2005-02-01,4.682069778442383,5.39961044794959,4.507978183491528,4.841219114986014,13011367608
2005-03-01,4.495772838592529,4.728394324188306,4.29802025421397,4.714447238269656,6871082040
2005-04-01,5.479309558868408,5.597363158221883,4.479086723323489,4.526906119067393,9058576356
2005-05-01,6.905673980712891,6.933817304637211,5.484539815708358,5.530366978214064,10140601248
2005-06-01,7.326085567474365,7.70216526417655,6.660598001726933,7.053365417229819,15544507932
2005-07-01,7.166935920715332,7.915110804591588,7.14775861762626,7.348250891022685,8189766036
2005-08-01,7.123101711273193,7.464812220081575,6.808042007280705,7.17590217681357,5713157124
2005-09-01,7.881736755371094,7.993565448337735,7.098196052657649,7.1208604845257755,6799321872
2005-10-01,9.268500328063965,9.333504789877766,7.239661226205303,7.811253541780648,7710781500
2005-11-01,10.08466911315918,10.740442758257558,9.190544495074672,9.261527572027546,8458177356
2005-12-01,10.33248233795166,11.113283797306952,9.937723173396522,10.191514684451036,7943316732
2006-01-01,10.775808334350586,11.833066730413965,9.831374749851499,10.523263028630812,11949642396
2006-02-01,9.031397819519043,10.124270777631413,8.413977783057883,9.689162807671508,11889099000
2006-03-01,9.7133207321167,9.937474506504742,8.257567414839652,9.17933652833329,12258289440
2006-04-01,10.40919303894043,11.225609939140996,9.661766028185738,9.70161552683591,7405167420
2006-05-01,9.260530471801758,10.44655153777922,8.980338726562755,10.422393165885707,7030554408
2006-06-01,10.443812370300293,10.443812370300293,9.255051142571364,9.303368835682393,5689528776
2006-07-01,9.628641128540039,10.65700781304728,9.406729204044682,10.461496121994628,5095775124
2006-08-01,9.42764949798584,9.71332060270218,9.04982578104273,9.591530254028225,4274601120
2006-09-01,10.0097017288208,10.4278722879181,9.382569277919828,9.488917175316839,4857193944
2006-10-01,11.864945411682129,12.252730307892943,9.917300264624563,10.009701548629623,6334219440
