Date,Close,High,Low,Open,Volume,Target
1986-03-01,0.05864087864756584,0.06343908085987933,0.05437635502275371,0.05437635502275371,1857052800,1
1986-04-01,0.06876976788043976,0.07490063890978675,0.05704170923701001,0.058640906351838225,547142400,1
1986-05-01,0.07463406026363373,0.07570019105204769,0.06610440082198998,0.06876972779302487,333446400,0
1986-06-01,0.0655713677406311,0.07463409704249506,0.06290603945615178,0.07463409704249506,293788800,0
1986-07-01,0.06077311933040619,0.06717051567778087,0.05544246665274951,0.06557131987448388,460800000,0
1986-08-01,0.06077311933040619,0.06557131987448388,0.05810779299157785,0.060773119330406196,266256000,0
1986-09-01,0.06024008244276047,0.06717054732295985,0.05597555829154579,0.060773147961662305,285120000,1
1986-10-01,0.0826306864619255,0.08582907989452412,0.05864089173819489,0.060240088454494196,1565712000,1
1986-11-01,0.10608681291341782,0.10928520707445129,0.08316376639895721,0.08316376639895721,1053964800,0
1986-12-01,0.10288842022418976,0.10661987522458592,0.09649101009367707,0.10608680499523611,721526400,1
1987-01-01,0.15593145787715912,0.16526070932797024,0.10128917785968827,0.10288837875186754,1961596800,1
1987-02-01,0.16366155445575714,0.16952590279337323,0.14180464362383513,0.155931501723513,1834272000,1
1987-03-01,0.20630989968776703,0.21110748595284207,0.15673110179915375,0.16366157294598657,1783324800,1
1987-04-01,0.22176936268806458,0.23243129601929688,0.19298198346178888,0.20630986226453008,2118585600,1
1987-05-01,0.245759055018425,0.2734803008422485,0.21910394901008154,0.22176927109500888,2192054400,0
1987-06-01,0.2175048440694809,0.24575914239243773,0.2052431062273935,0.24575914239243773,1729353600,0
1987-07-01,0.20044554769992828,0.2255014653683405,0.18871749153370887,0.21697179360494792,1813536000,1
1987-08-01,0.2532220780849457,0.2585533466302317,0.1945811806080431,0.20044552842129945,2034921600,1
1987-09-01,0.28254249691963196,0.28414230198423357,0.22603448804327037,0.25162285840459664,1554912000,0
1987-10-01,0.21217362582683563,0.33798509109368063,0.15886399995416,0.28254259846357016,3567225600,0
1987-11-01,0.1908496916294098,0.22176930699777928,0.1727242319834745,0.21004127296090697,1550188800,1
1987-12-01,0.23136518895626068,0.23882873919587436,0.17059203762252287,0.18978362652669165,1780200000,1
1988-01-01,0.23776257038116455,0.26335094377322976,0.2239016302692164,0.233497423574873,1966795200,1
1988-02-01,0.2532220780849457,0.25908640759567964,0.2121735651570051,0.2420270840121655,1403899200,0
1988-03-01,0.24096086621284485,0.2793440253528667,0.2313650764278394,0.25482180123927967,2113675200,0
1988-04-01,0.23243127763271332,0.250556722093935,0.22496774735678549,0.23882868603969287,1155096000,1
1988-05-01,0.2473585158586502,0.25268916563736354,0.2281669174409085,0.23243144458489295,1033012800,1
1988-06-01,0.2857414186000824,0.28787367997748414,0.2462921397323081,0.24842440110970987,1198598400,0
1988-07-01,0.253755122423172,0.3006679434853768,0.24202706815342087,0.28574150532998893,1401105600,0
1988-08-01,0.2132396250963211,0.2558879271474052,0.20364383583564397,0.25482178731543553,1862596800,1
1988-09-01,0.222835510969162,0.23563031095353548,0.20471004611881785,0.21110745526226632,1216584000,0
1988-10-01,0.2089751958847046,0.2302990453093778,0.20364392696126402,0.21857098943926198,1532102400,0
1988-11-01,0.20151165127754211,0.21537196854373114,0.19298198029535538,0.2089751820214149,1558929600,1
1988-12-01,0.22710056602954865,0.23136507057502087,0.20044545882675757,0.20257770194823563,1030464000,1
1989-01-01,0.2542887032032013,0.2569540250846357,0.21430572694930344,0.22816665994571506,1375084800,0
1989-02-01,0.253755122423172,0.27614571308483604,0.24949059837397555,0.253755122423172,1802145600,0
1989-03-01,0.21270667016506195,0.26548384850114903,0.1951142651846832,0.2558880544660275,3058704000,1
1989-04-01,0.23829568922519684,0.2409610131219798,0.20257783058049536,0.21323976675609627,1134820800,1
1989-05-01,0.2580203115940094,0.2601525556700765,0.2175048738625228,0.23616338221742936,1258977600,0
1989-06-01,0.22603444755077362,0.25908634215249343,0.21857091872640264,0.25695408052677204,1072584000,1
1989-07-01,0.2334975004196167,0.24309329688327935,0.2196371963345134,0.22656765036879792,1221019200,1
1989-08-01,0.25055673718452454,0.25802028621249007,0.23029902946279907,0.23349741356479814,1380729600,1
1989-09-01,0.2921382784843445,0.29640342463064184,0.2462922035963833,0.2516228492708773,1284523200,1
1989-10-01,0.34864702820777893,0.3667724597008264,0.2900061168801097,0.2910722390628196,2608992000,1
1989-11-01,0.3710375130176544,0.38063330571913945,0.32412470802701215,0.3486469395937183,1835870400,0
1989-12-01,0.3710375130176544,0.3763681591813906,0.31985956148926337,0.3715705922760457,1460664000,1
1990-01-01,0.3944937288761139,0.40942079404567067,0.35824282873942154,0.37210377171022424,2380968000,1
1990-02-01,0.42114880681037903,0.4286123199668947,0.393427547335942,0.39449366937389085,1429344000,1
1990-03-01,0.47232598066329956,0.4989811089886576,0.42008254118179966,0.42008254118179966,1717819200,1
1990-04-01,0.4947170317173004,0.5373647556967683,0.4659296340906878,0.46806191596521457,1200837600,1
1990-05-01,0.6226603984832764,0.6717055229810477,0.4840541837392537,0.5011134895740794,1634767200,1
1990-06-01,0.6482493281364441,0.6631757649772957,0.6056009799718123,0.6247925993769995,1165960800,0
1990-07-01,0.5672177672386169,0.6887646800382089,0.5608203782766155,0.6482492742702407,1548979200,0
1990-08-01,0.524570107460022,0.5736152211835401,0.43287672021590895,0.5650855518374059,1983837600,1
1990-09-01,0.5373644828796387,0.5416290078585462,0.464862653161455,0.5203051383922944,1270843200,1
1990-10-01,0.5437617897987366,0.5842772416407747,0.4563335322625431,0.5522914607163957,2198116800,1
1990-11-01,0.6162629127502441,0.6333222525589729,0.5352320919024337,0.5373643355045831,1253152800,1
1990-12-01,0.6418522000312805,0.6546464000074722,0.601336769775935,0.6247929250824807,960004800,1
